entity,scenario,best_method,best_avg,best_med,best_pstd,baseline_label,baseline_avg,baseline_med,baseline_pstd
Zombie,scenario2,tsukamoto,52.19047619047619,50.0,5.3655489603822035,fallback,36.464285714285715,30.5,16.005260614777217
Skeleton,scenario2,tsukamoto,52.19047619047619,50.0,5.3655489603822035,fallback,36.464285714285715,30.5,16.005260614777217
Enderman,scenario2,tsukamoto,98.22222222222223,100.0,3.975231959999623,fallback,36.266666666666666,31.700000000000003,14.31320846309228
Boss,scenario2,tsukamoto,98.22222222222223,100.0,3.975231959999623,fallback,36.266666666666666,31.700000000000003,14.31320846309228
